HomeWin,HomeNumWins,VisitorNumWins,HomeWins2019,VisitorWins2019,HomeLosses2019,VisitorLosses2019,TotalHomeWins2019,TotalVisitorWins2019,Net Home Season Score,Net Away Season Score
1,0,0,32,14,9,27,58,33,0,0
1,0,0,26,15,15,26,48,37,0,0
1,0,0,25,13,16,28,39,22,0,0
0,0,0,29,15,12,26,48,41,0,0
1,0,0,25,6,16,35,42,19,0,0
0,0,0,23,30,18,11,42,36,0,0
1,0,0,19,29,22,12,39,33,0,0
1,0,0,31,21,10,20,51,49,0,0
1,0,0,24,31,17,10,33,32,0,0
1,0,0,32,8,9,33,48,17,0,0
1,0,0,29,22,12,19,50,49,0,0
0,0,0,32,20,9,21,53,54,0,0
1,0,0,29,15,12,26,19,39,0,0
0,0,0,26,29,15,12,41,29,9,0
0,0,0,31,27,10,14,53,60,0,0
0,0,0,30,22,11,19,57,48,0,10
1,0,0,28,26,13,15,49,58,-14,8
0,1,1,25,30,16,11,39,36,1,1
1,0,0,23,8,18,33,42,17,-1,-9
0,0,0,21,13,20,28,33,22,-19,-1
0,0,0,19,9,22,32,33,33,-8,8
0,0,0,27,31,14,10,49,32,-5,-8
1,0,0,34,7,7,34,54,19,8,29
0,0,0,24,21,17,20,39,53,-29,-8
1,0,0,22,21,19,20,37,50,-10,5
0,0,0,33,20,8,21,60,39,6,19
0,0,0,26,20,15,21,41,51,-8,14
1,0,0,17,17,24,24,29,42,17,9
0,0,0,9,21,32,20,17,49,-13,-8
0,0,0,9,26,32,15,22,58,7,2
1,0,0,13,19,28,22,19,48,-9,-9
1,0,0,31,14,10,27,53,33,-6,-15
1,1,1,32,31,9,10,48,32,9,4
1,1,0,29,15,12,26,50,39,-4,-39
1,1,1,29,22,12,19,19,48,28,29
1,0,0,27,27,14,14,49,57,-17,-19
1,0,0,21,19,20,22,33,42,-27,3
0,1,1,24,21,17,20,33,53,15,2
1,0,1,25,20,16,21,36,39,23,24
1,1,0,22,14,19,27,37,39,-1,-21
1,0,0,26,19,15,22,41,48,-14,-20
1,0,1,9,13,32,28,17,22,-36,-17
0,1,1,17,20,24,21,29,51,21,20
1,1,0,32,17,9,24,58,42,26,5
1,0,0,33,6,8,35,60,19,1,2
0,0,0,19,27,22,14,33,57,-18,-47
1,1,0,31,22,10,19,53,49,-3,11
1,2,2,32,21,9,20,48,53,11,4
0,2,0,29,21,12,20,19,50,36,28
0,0,1,24,20,17,21,39,54,-71,9
1,1,0,26,14,15,27,48,39,21,-40
1,1,1,19,29,22,12,39,29,17,19
0,1,1,34,9,7,32,54,33,16,13
1,2,0,22,29,19,12,37,33,18,-26
1,1,2,31,30,10,11,51,36,22,30
1,1,0,25,8,16,33,42,17,-4,-29
1,1,1,13,13,28,28,19,22,-15,-24
0,1,0,23,19,18,22,42,48,2,-22
1,1,1,28,27,13,14,49,60,15,18
1,2,1,32,15,9,26,58,41,35,-12
0,1,2,27,21,14,20,49,53,7,1
0,0,0,22,22,19,19,32,53,2,1
0,0,0,24,14,17,27,39,39,-78,-55
1,2,1,29,22,12,19,50,48,29,36
0,0,0,30,7,11,34,57,19,-36,35
0,1,1,17,20,24,21,29,39,4,32
1,0,2,19,20,22,21,33,54,-29,13
1,2,0,26,16,15,25,48,48,22,14
1,1,1,23,22,18,19,42,53,-8,2
1,0,0,29,6,12,35,48,19,-12,-9
0,2,1,25,27,16,14,42,60,8,7
1,2,0,28,8,13,33,49,17,26,-41
1,0,1,9,15,32,26,22,41,-30,-24
0,1,0,24,15,17,26,33,37,16,47
1,0,1,24,21,17,20,39,50,-85,43
0,0,0,30,16,11,25,57,48,-47,8
1,1,0,27,14,14,27,49,33,4,-14
1,1,0,26,19,15,22,41,42,-30,-1
0,2,2,25,20,16,21,42,54,-24,-2
0,1,1,21,7,20,34,33,19,-55,46
1,1,1,33,26,8,15,60,58,39,47
0,0,2,22,30,19,11,32,36,1,8
0,0,1,30,14,11,27,57,39,-64,-48
0,0,2,32,20,9,21,53,51,4,44
1,1,1,29,13,12,28,48,22,-5,-24
1,2,1,19,22,22,19,39,53,41,-5
